Open,High,Low,Close,Volume
4578.2998046875,4578.2998046875,4578.10009765625,4578.2001953125,32
4578.0,4578.0,4577.89990234375,4578.0,3
4577.60009765625,4578.10009765625,4577.2001953125,4577.39990234375,32
4577.39990234375,4578.10009765625,4576.89990234375,4577.7001953125,45
4577.7998046875,4578.5,4577.39990234375,4577.7998046875,18
4577.7998046875,4577.7998046875,4576.7001953125,4577.2998046875,28
4577.2998046875,4577.2998046875,4576.7998046875,4576.7998046875,8
4576.89990234375,4577.7998046875,4576.89990234375,4577.7001953125,34
4577.7998046875,4577.89990234375,4577.2001953125,4577.2998046875,35
4577.60009765625,4578.2001953125,4576.89990234375,4577.10009765625,63
4577.10009765625,4577.2001953125,4576.5,4576.7998046875,34
4577.10009765625,4577.10009765625,4575.5,4576.2998046875,55
4576.0,4576.2001953125,4575.5,4575.5,21
4575.2001953125,4575.39990234375,4574.39990234375,4574.5,69
4574.60009765625,4574.60009765625,4573.0,4574.2001953125,63
4574.2001953125,4574.7998046875,4573.7001953125,4574.10009765625,28
4573.7998046875,4574.39990234375,4573.7001953125,4574.0,15
4573.89990234375,4574.2001953125,4573.89990234375,4574.2001953125,14
4574.10009765625,4574.7998046875,4573.89990234375,4574.0,34
4574.0,4574.2998046875,4573.5,4574.2001953125,0
