Open,High,Low,Close,Volume
4699.7998046875,4700.7998046875,4699.7001953125,4700.5,0
4700.5,4700.60009765625,4699.2001953125,4700.0,44
4700.10009765625,4700.5,4699.5,4699.5,44
4699.7001953125,4701.2001953125,4699.7001953125,4701.0,25
4701.0,4701.0,4699.89990234375,4699.89990234375,23
4699.60009765625,4700.0,4699.60009765625,4699.60009765625,13
4699.7001953125,4700.2998046875,4698.89990234375,4699.39990234375,25
4699.5,4699.60009765625,4699.0,4699.0,12
4699.0,4701.0,4698.89990234375,4700.60009765625,19
4700.5,4700.60009765625,4699.89990234375,4700.60009765625,10
4700.5,4701.0,4700.39990234375,4700.89990234375,22
4700.2001953125,4700.7998046875,4700.0,4700.60009765625,25
4700.5,4700.60009765625,4700.10009765625,4700.39990234375,18
4700.2001953125,4700.2001953125,4699.7998046875,4699.89990234375,7
4700.0,4700.5,4699.60009765625,4699.60009765625,26
4699.7001953125,4699.7001953125,4698.39990234375,4698.7998046875,29
4698.89990234375,4699.60009765625,4698.7001953125,4699.2001953125,26
4699.10009765625,4699.39990234375,4699.0,4699.10009765625,14
4699.2998046875,4699.89990234375,4698.89990234375,4699.89990234375,7
4700.2001953125,4700.5,4698.89990234375,4698.89990234375,73
4698.89990234375,4699.10009765625,4698.7001953125,4698.89990234375,14
4698.7998046875,4699.60009765625,4698.5,4699.60009765625,40
4700.0,4700.0,4698.39990234375,4698.39990234375,52
4698.7001953125,4698.89990234375,4698.2998046875,4698.7001953125,22
4698.39990234375,4699.7001953125,4698.39990234375,4699.60009765625,20
4699.2001953125,4699.7001953125,4698.39990234375,4699.5,35
4699.60009765625,4699.7998046875,4698.39990234375,4698.5,22
4698.39990234375,4698.7998046875,4698.2001953125,4698.7998046875,23
4698.5,4699.10009765625,4698.2998046875,4699.10009765625,11
4699.0,4699.2001953125,4698.60009765625,4699.2001953125,19
4699.39990234375,4700.10009765625,4698.89990234375,4699.39990234375,24
4698.89990234375,4700.2001953125,4698.89990234375,4700.10009765625,23
4700.10009765625,4700.39990234375,4699.0,4699.0,30
4698.7998046875,4698.7998046875,4698.0,4698.7001953125,36
4698.60009765625,4699.10009765625,4698.39990234375,4698.5,17
4698.7001953125,4698.7001953125,4697.2998046875,4697.60009765625,40
4698.7001953125,4699.0,4698.5,4698.7001953125,17
4698.5,4699.10009765625,4697.60009765625,4698.7001953125,126
4698.39990234375,4698.7001953125,4697.2998046875,4698.2001953125,29
4698.0,4698.2998046875,4697.2001953125,4697.2998046875,42
4697.2001953125,4697.5,4696.39990234375,4697.0,41
4696.89990234375,4697.7998046875,4696.7998046875,4697.7998046875,26
4698.2001953125,4698.2998046875,4697.7001953125,4698.10009765625,14
4698.5,4699.10009765625,4698.39990234375,4698.39990234375,11
4697.7001953125,4698.60009765625,4697.60009765625,4697.60009765625,72
4697.89990234375,4698.2001953125,4697.39990234375,4697.89990234375,31
4698.0,4698.0,4697.60009765625,4697.7001953125,9
4697.89990234375,4697.89990234375,4696.2001953125,4696.39990234375,29
4696.2001953125,4696.60009765625,4695.7001953125,4696.5,37
4696.0,4696.7001953125,4696.0,4696.7001953125,215
4697.2998046875,4697.60009765625,4696.7998046875,4696.7998046875,23
4697.39990234375,4698.2001953125,4696.7001953125,4697.10009765625,32
4697.10009765625,4698.5,4696.89990234375,4698.2998046875,28
4697.89990234375,4698.7998046875,4697.7998046875,4698.60009765625,41
4698.5,4698.7001953125,4698.0,4698.0,15
4698.10009765625,4698.5,4697.5,4698.2001953125,24
4698.60009765625,4698.7001953125,4697.7998046875,4698.10009765625,19
4697.7998046875,4697.7998046875,4696.7998046875,4696.89990234375,13
4696.7998046875,4697.2001953125,4696.7001953125,4696.89990234375,10
4696.7998046875,4697.60009765625,4696.5,4697.60009765625,35
4697.5,4698.5,4697.2998046875,4697.60009765625,48
4697.89990234375,4699.2998046875,4697.89990234375,4698.89990234375,26
4698.7998046875,4700.2998046875,4698.39990234375,4700.2001953125,75
4700.10009765625,4700.60009765625,4699.10009765625,4700.2001953125,60
4700.0,4700.7998046875,4699.0,4699.10009765625,85
4699.10009765625,4699.2001953125,4698.60009765625,4699.10009765625,40
4699.10009765625,4700.0,4699.10009765625,4699.7001953125,28
4700.10009765625,4701.39990234375,4700.10009765625,4701.10009765625,48
4700.7001953125,4700.7998046875,4698.89990234375,4699.7001953125,59
4699.7001953125,4702.7998046875,4699.7001953125,4702.7001953125,184
4702.39990234375,4702.60009765625,4701.7998046875,4702.0,35
4701.89990234375,4702.2001953125,4700.7001953125,4700.7001953125,84
4700.39990234375,4700.39990234375,4698.7998046875,4699.60009765625,46
4699.39990234375,4699.60009765625,4698.2998046875,4698.7001953125,25
4699.5,4700.2001953125,4699.5,4700.2001953125,16
4700.2998046875,4700.5,4698.7001953125,4699.10009765625,34
4699.2001953125,4699.60009765625,4698.39990234375,4699.60009765625,39
4699.7998046875,4700.39990234375,4699.7998046875,4700.39990234375,22
4700.2998046875,4701.2001953125,4700.10009765625,4701.0,46
4700.89990234375,4701.7001953125,4700.0,4700.10009765625,39
4700.2001953125,4700.60009765625,4699.89990234375,4700.2001953125,17
4700.2998046875,4700.39990234375,4699.0,4699.39990234375,26
4698.7998046875,4699.89990234375,4698.5,4699.89990234375,30
4700.0,4701.39990234375,4700.0,4701.2001953125,27
4701.0,4701.0,4700.10009765625,4700.60009765625,32
4701.0,4701.0,4699.39990234375,4700.10009765625,30
4699.89990234375,4700.2001953125,4699.60009765625,4699.60009765625,24
4700.2001953125,4701.10009765625,4700.2001953125,4700.7001953125,18
4700.89990234375,4701.39990234375,4700.7998046875,4701.2998046875,25
4701.5,4702.2001953125,4700.10009765625,4700.2001953125,48
4700.39990234375,4706.2998046875,4697.7998046875,4705.10009765625,386
4704.7998046875,4704.7998046875,4702.10009765625,4703.60009765625,106
4703.5,4704.10009765625,4703.0,4703.5,39
4703.2998046875,4704.2001953125,4701.2998046875,4701.5,75
4701.2001953125,4702.89990234375,4700.7998046875,4702.7998046875,52
4702.2001953125,4702.5,4699.60009765625,4701.7001953125,50
4702.0,4702.2998046875,4698.89990234375,4698.89990234375,50
4698.7998046875,4699.5,4696.7998046875,4698.0,83
4697.7001953125,4697.7001953125,4695.2001953125,4696.89990234375,195
4696.39990234375,4698.2998046875,4695.89990234375,4698.2998046875,38
4698.7001953125,4700.89990234375,4698.60009765625,4700.10009765625,64
4700.0,4701.39990234375,4700.0,4701.0,29
4701.39990234375,4701.39990234375,4698.7001953125,4698.7001953125,48
4698.60009765625,4699.10009765625,4695.7001953125,4695.89990234375,72
4695.7001953125,4695.89990234375,4694.7001953125,4695.0,103
4694.5,4694.89990234375,4692.2001953125,4693.2001953125,113
4692.60009765625,4694.5,4692.2001953125,4693.39990234375,94
4693.60009765625,4695.10009765625,4693.39990234375,4695.10009765625,87
4695.2001953125,4697.2998046875,4694.7998046875,4695.60009765625,53
4696.2001953125,4696.2001953125,4694.10009765625,4694.2998046875,59
4694.2001953125,4694.5,4693.60009765625,4694.2001953125,40
4695.39990234375,4696.10009765625,4695.0,4695.10009765625,31
4695.39990234375,4696.39990234375,4695.39990234375,4696.2998046875,25
4696.89990234375,4696.89990234375,4696.0,4696.7001953125,19
4696.5,4696.7001953125,4695.5,4695.5,26
4694.2998046875,4694.7001953125,4693.39990234375,4694.2998046875,438
4694.2998046875,4694.7001953125,4692.60009765625,4693.5,70
4693.5,4695.2998046875,4693.39990234375,4695.10009765625,45
4696.0,4698.0,4695.7998046875,4697.5,51
4697.2001953125,4697.2001953125,4694.60009765625,4696.2998046875,61
4696.0,4696.0,4694.2001953125,4695.10009765625,51
4694.7998046875,4696.2998046875,4694.39990234375,4695.7001953125,48
4695.60009765625,4695.60009765625,4694.7998046875,4695.10009765625,13
4695.2001953125,4696.0,4695.2001953125,4695.7001953125,30
4695.2001953125,4695.2001953125,4693.89990234375,4694.2998046875,19
4694.10009765625,4694.39990234375,4692.60009765625,4694.10009765625,67
4694.10009765625,4695.7998046875,4694.0,4695.0,33
4695.5,4695.60009765625,4694.5,4695.60009765625,18
4695.2998046875,4695.2998046875,4694.2001953125,4694.2001953125,33
4694.2001953125,4694.2001953125,4691.0,4692.2998046875,58
4692.10009765625,4692.10009765625,4689.5,4689.7998046875,138
4689.7001953125,4689.89990234375,4689.2001953125,4689.39990234375,81
4689.2001953125,4690.5,4687.7998046875,4689.89990234375,150
4690.10009765625,4690.7998046875,4688.2998046875,4690.7998046875,67
4690.60009765625,4691.2001953125,4688.7998046875,4688.7998046875,59
4688.89990234375,4688.89990234375,4687.0,4687.5,89
4687.2998046875,4687.7998046875,4685.2998046875,4686.60009765625,199
